,name,date,strengths,weaknesses,self_development,geo_flex,financial_support_self,result,course_interest,tech_self_score.C#,tech_self_score.Java,tech_self_score.R,tech_self_score.JavaScript,tech_self_score.Python,tech_self_score.C++,tech_self_score.Ruby,tech_self_score.SPSS,tech_self_score.PHP
322,Zsa Zsa Rounsefull,16/07/2019,"['Problem Solving', 'Reliable', 'Charisma']","['Immature', 'Undisciplined', 'Passive']",Yes,Yes,Yes,Fail,Data,,,,,,,,,2.0
323,Amanda Minto,18/07/2019,['Determined'],"['Impulsive', 'Indecisive', 'Perfectionist']",No,Yes,Yes,Fail,Business,,,,,,6.0,,,4.0
324,Annie Ibbotson,25/07/2019,"['Independent', 'Competitive']",['Indifferent'],Yes,No,Yes,Fail,Business,,2.0,,,,,,,
325,Roana Sanger,11/07/2019,"['Rational', 'Composure']",['Impatient'],Yes,No,Yes,Fail,Business,,1.0,3.0,,2.0,,,,1.0
326,Elise Soppeth,24/07/2019,['Critical Thinking'],"['Conventional', 'Chaotic']",Yes,Yes,Yes,Pass,Data,1.0,2.0,,1.0,4.0,9.0,,,
327,Betty Lamlin,10/07/2019,"['Problem Solving', 'Ambitious', 'Perfectionism']",['Chaotic'],No,Yes,Yes,Fail,Data,,,,,5.0,,3.0,4.0,
328,Verena Townes,16/07/2019,['Critical Thinking'],['Procrastination'],Yes,Yes,Yes,Pass,Business,,,1.0,,1.0,2.0,1.0,,1.0
329,Constance Fellibrand,09/07/2019,['Innovative'],"['Indifferent', 'Immature']",Yes,Yes,Yes,Pass,Engineering,,,2.0,,,,2.0,5.0,1.0
330,Joannes Yurshev,18/07/2019,"['Determined', 'Curious']","['Slow', 'Undisciplined']",Yes,Yes,Yes,Pass,Business,,1.0,,1.0,,,,2.0,1.0
331,Brunhilde Zellick,03/07/2019,"['Creative', 'Perfectionism', 'Consistent']","['Chaotic', 'Undisciplined']",Yes,Yes,Yes,Pass,Engineering,,2.0,,,,,,1.0,
332,Mathilde Keppin,02/07/2019,"['Creative', 'Efficient', 'Ambitious']","['Indifferent', 'Selfish', 'Overbearing']",Yes,Yes,Yes,Pass,Engineering,,4.0,,,2.0,3.0,1.0,3.0,
333,Aili Bursnoll,30/07/2019,"['Ambitious', 'Passionate']",['Intolerant'],Yes,No,Yes,Fail,Engineering,5.0,,2.0,,,,,,
334,Kerr Allanson,24/07/2019,"['Curious', 'Composure', 'Independent']","['Procrastination', 'Conventional', 'Chaotic']",No,Yes,Yes,Fail,Data,2.0,,3.0,,,,,,
335,Eldin Broster,17/07/2019,"['Creative', 'Innovative']","['Controlling', 'Stubborn', 'Slow']",Yes,Yes,Yes,Fail,Data,4.0,,3.0,,,2.0,,,
336,Cherrita Mcgilleghole,11/07/2019,"['Efficient', 'Empathy', 'Curious']","['Indifferent', 'Slow', 'Stubborn']",Yes,Yes,Yes,Pass,Engineering,,,2.0,10.0,,,,3.0,
337,Ortensia Winscomb,11/07/2019,"['Versatile', 'Competitive', 'Rational']","['Slow', 'Introverted', 'Procrastination']",Yes,Yes,Yes,Pass,Data,,,6.0,1.0,,,4.0,,
338,Fleming Mcmurdo,09/07/2019,['Organisation'],['Impatient'],Yes,No,Yes,Fail,Data,5.0,2.0,3.0,3.0,,2.0,,,2.0
339,Brigid Blabber,23/07/2019,"['Problem Solving', 'Innovative', 'Critical Thinking']","['Selfish', 'Introverted', 'Stubborn']",Yes,Yes,Yes,Pass,Business,6.0,,3.0,,,,2.0,1.0,
340,Ludvig Grzes,16/07/2019,"['Organisation', 'Collaboration', 'Altruism']","['Procrastination', 'Immature', 'Impatient']",Yes,Yes,Yes,Pass,Data,,3.0,,,,,1.0,,
341,Hurley Collyer,24/07/2019,['Perfectionism'],"['Chaotic', 'Slow', 'Chatty']",Yes,No,Yes,Fail,Engineering,,,,,,,3.0,,
342,Kitty Allen,02/07/2019,"['Determined', 'Creative']",['Sensitive'],Yes,Yes,Yes,Pass,Business,5.0,4.0,3.0,,5.0,,,,
343,Bary Fendlen,18/07/2019,['Listening'],['Immature'],Yes,Yes,Yes,Fail,Business,,1.0,,1.0,4.0,3.0,3.0,,2.0
344,Horten Goble,24/07/2019,"['Courteous', 'Critical Thinking', 'Innovative']",['Immature'],Yes,Yes,Yes,Pass,Business,4.0,1.0,,,,,,1.0,
345,Natassia Pawle,03/07/2019,"['Altruism', 'Empathy', 'Perfectionism']","['Intolerant', 'Impulsive', 'Passive']",Yes,Yes,Yes,Pass,Engineering,1.0,5.0,,3.0,3.0,,,,
346,Karoly Skates,16/07/2019,"['Determined', 'Critical Thinking']",['Competitive'],Yes,Yes,Yes,Pass,Engineering,,4.0,,,5.0,2.0,4.0,1.0,2.0
347,Albina Alves,02/07/2019,"['Altruism', 'Creative', 'Problem Solving']","['Selfish', 'Procrastination']",Yes,Yes,Yes,Pass,Business,,1.0,,,2.0,,1.0,,1.0
348,Evered Giovanizio,04/07/2019,"['Competitive', 'Listening']","['Chaotic', 'Intolerant', 'Undisciplined']",No,Yes,Yes,Fail,Business,,,5.0,,6.0,2.0,,,
349,Elliot Yarnley,23/07/2019,"['Collaboration', 'Consistent']","['Sensitive', 'Chatty', 'Distracted']",Yes,Yes,Yes,Fail,Engineering,,3.0,,8.0,,,,5.0,
350,Vanessa Gives,30/07/2019,['Perfectionism'],"['Chatty', 'Critical']",No,Yes,Yes,Fail,Data,,,3.0,1.0,5.0,,,,1.0
351,Fremont Oxlee,18/07/2019,"['Independent', 'Collaboration', 'Creative']","['Slow', 'Conventional', 'Competitive']",Yes,Yes,Yes,Fail,Business,,1.0,,,,3.0,1.0,,2.0
352,Fan Hember,04/07/2019,"['Determined', 'Independent', 'Courteous']","['Passive', 'Impatient']",Yes,No,Yes,Fail,Business,5.0,1.0,,,,,,,
353,Fee Karpe,17/07/2019,"['Creative', 'Efficient']","['Procrastination', 'Perfectionist']",Yes,Yes,Yes,Pass,Data,,2.0,,,7.0,,2.0,,
354,Fee Karpe,17/07/2019,"['Creative', 'Efficient']","['Procrastination', 'Perfectionist']",Yes,Yes,Yes,Pass,Data,,2.0,,,7.0,,2.0,,
355,Katrine Westley,24/07/2019,['Perfectionism'],"['Chaotic', 'Competitive']",Yes,No,Yes,Fail,Engineering,3.0,,,,,,,3.0,
356,Quill Tompkinson,10/07/2019,['Courteous'],"['Indecisive', 'Critical']",Yes,Yes,Yes,Fail,Data,2.0,,,,2.0,,5.0,,2.0
357,Donavon Glazebrook,23/07/2019,"['Altruism', 'Collaboration', 'Composure']","['Slow', 'Intolerant', 'Stubborn']",Yes,Yes,Yes,Pass,Business,,2.0,,,,,,,
358,Gisele Beetham,25/07/2019,"['Independent', 'Problem Solving']","['Indifferent', 'Chaotic', 'Sensitive']",No,No,Yes,Fail,Data,3.0,,,3.0,,,3.0,,
359,Hilliard Reinard,18/07/2019,['Problem Solving'],"['Passive', 'Undisciplined']",Yes,Yes,Yes,Pass,Engineering,,,,,,,,5.0,2.0
360,Ira Rathbourne,18/07/2019,"['Patient', 'Ambitious', 'Passionate']","['Competitive', 'Controlling', 'Slow']",Yes,Yes,Yes,Pass,Data,,,,,,5.0,,3.0,
361,Shaun Dowley,10/07/2019,['Determined'],['Indecisive'],Yes,Yes,No,Fail,Business,,3.0,2.0,,2.0,,,,2.0
362,Hartwell Silver,30/07/2019,"['Determined', 'Listening']","['Chaotic', 'Competitive']",Yes,Yes,Yes,Pass,Engineering,,6.0,5.0,,,,,,3.0
363,Shoshanna Janicek,18/07/2019,['Rational'],"['Intolerant', 'Impulsive']",Yes,Yes,Yes,Pass,Engineering,,2.0,,,3.0,4.0,,,
364,Ingrid Cradick,24/07/2019,"['Determined', 'Passionate']","['Overbearing', 'Conventional']",Yes,No,Yes,Fail,Data,,,,1.0,5.0,2.0,,2.0,1.0
365,Chevy Pyburn,02/07/2019,"['Perfectionism', 'Patient', 'Organisation']","['Overbearing', 'Stubborn']",Yes,Yes,Yes,Pass,Engineering,1.0,,,1.0,,,,,
366,Bertram Esgate,30/07/2019,"['Independent', 'Composure', 'Altruism']","['Selfish', 'Chatty', 'Controlling']",Yes,Yes,Yes,Pass,Data,4.0,,3.0,2.0,,,,1.0,
367,Larisa Warrington,02/07/2019,"['Independent', 'Consistent']","['Distracted', 'Anxious']",No,Yes,Yes,Fail,Business,,3.0,,,2.0,,,,
368,Lissa Pumfrett,11/07/2019,"['Empathy', 'Perfectionism']",['Impulsive'],Yes,Yes,Yes,Pass,Data,,,,,,4.0,,,
369,Demetrius Dunbavin,02/07/2019,"['Versatile', 'Passionate', 'Efficient']","['Stubborn', 'Passive']",Yes,Yes,Yes,Pass,Business,,,1.0,,,,,1.0,
370,Morgen Lilywhite,09/07/2019,"['Composure', 'Versatile', 'Problem Solving']","['Impatient', 'Immature', 'Selfish']",Yes,Yes,Yes,Pass,Data,,,,,,,,,
371,Rickard Blakes,09/07/2019,"['Collaboration', 'Empathy']","['Undisciplined', 'Indecisive', 'Distracted']",Yes,Yes,Yes,Pass,Engineering,,,3.0,3.0,,,8.0,1.0,1.0
372,Emily Barras,30/07/2019,['Altruism'],"['Conventional', 'Indifferent', 'Impatient']",Yes,Yes,Yes,Pass,Business,,,,,,,2.0,1.0,
373,Tonye Ambrogio,18/07/2019,['Listening'],"['Critical', 'Procrastination']",Yes,Yes,Yes,Pass,Data,5.0,4.0,,3.0,,5.0,,,1.0
374,Robers Gentner,09/07/2019,['Perfectionism'],"['Anxious', 'Conventional']",Yes,Yes,Yes,Fail,Data,,2.0,,,,1.0,,,6.0
375,Kellyann Yorkston,16/07/2019,['Courteous'],"['Intolerant', 'Controlling']",Yes,Yes,No,Fail,Data,,3.0,,,3.0,1.0,4.0,2.0,2.0
376,Olly Mougenel,16/07/2019,"['Problem Solving', 'Perfectionism']","['Perfectionist', 'Slow', 'Undisciplined']",Yes,Yes,No,Fail,Business,,3.0,7.0,,,2.0,2.0,2.0,1.0
377,Merrill Mckie,23/07/2019,"['Versatile', 'Ambitious']","['Perfectionist', 'Intolerant', 'Overbearing']",Yes,Yes,Yes,Pass,Business,,,5.0,1.0,2.0,4.0,,,5.0
378,Kass Castellan,03/07/2019,"['Creative', 'Listening']",['Indecisive'],Yes,Yes,Yes,Pass,Engineering,4.0,,,,,,3.0,,
379,Marlon Reside,30/07/2019,"['Courteous', 'Altruism']",['Undisciplined'],Yes,Yes,Yes,Pass,Data,,,,3.0,,,,4.0,
380,Oswald Lyndon,10/07/2019,"['Competitive', 'Independent']","['Procrastination', 'Impatient']",Yes,Yes,Yes,Pass,Engineering,,,9.0,5.0,,3.0,,4.0,
381,Arty Indruch,02/07/2019,"['Courteous', 'Patient', 'Creative']",['Intolerant'],Yes,Yes,Yes,Pass,Business,3.0,4.0,6.0,,,3.0,5.0,2.0,
382,Sharl Shambrooke,04/07/2019,"['Innovative', 'Reliable', 'Curious']",['Undisciplined'],Yes,Yes,Yes,Fail,Engineering,9.0,,2.0,,4.0,,1.0,,
383,Antonius Heape,17/07/2019,['Ambitious'],['Procrastination'],Yes,Yes,Yes,Pass,Engineering,2.0,,,,2.0,,8.0,,
384,Rad Bench,17/07/2019,"['Independent', 'Critical Thinking', 'Ambitious']","['Indecisive', 'Selfish']",Yes,Yes,Yes,Pass,Data,,,2.0,,,,1.0,,2.0
385,Agace O'Shields,30/07/2019,"['Collaboration', 'Innovative']","['Undisciplined', 'Immature', 'Passive']",Yes,Yes,Yes,Pass,Business,,,,,,,,1.0,1.0
386,Mela Burgill,09/07/2019,"['Altruism', 'Organisation', 'Collaboration']",['Distracted'],Yes,Yes,Yes,Pass,Business,,,,,,1.0,,3.0,
387,Justis Gilham,25/07/2019,"['Altruism', 'Competitive', 'Critical Thinking']","['Competitive', 'Procrastination']",Yes,Yes,Yes,Pass,Engineering,,,,6.0,2.0,,,3.0,4.0
388,Valery Delia,24/07/2019,"['Composure', 'Rational']",['Anxious'],No,Yes,Yes,Fail,Engineering,,2.0,3.0,,,2.0,,3.0,
389,Kylie Cordell,18/07/2019,['Competitive'],"['Chaotic', 'Impulsive', 'Critical']",Yes,Yes,Yes,Pass,Business,3.0,,,,,,,,
390,Emmett Stogill,17/07/2019,"['Consistent', 'Perfectionism']","['Chaotic', 'Introverted']",Yes,Yes,No,Fail,Engineering,1.0,,4.0,,6.0,,,,
391,Julianne Neagle,09/07/2019,"['Perfectionism', 'Rational']",['Procrastination'],Yes,Yes,Yes,Fail,Engineering,,2.0,,,5.0,1.0,7.0,,
392,Cobbie Wolfinger,30/07/2019,"['Passionate', 'Organisation']","['Perfectionist', 'Immature', 'Indifferent']",No,Yes,Yes,Fail,Data,1.0,,,,,,,2.0,
393,Blondy Fearnall,04/07/2019,"['Efficient', 'Innovative']",['Introverted'],Yes,Yes,Yes,Pass,Engineering,3.0,4.0,,4.0,4.0,,,,
394,Bowie Endersby,16/07/2019,['Efficient'],['Indifferent'],Yes,Yes,Yes,Pass,Data,1.0,,,,,,,,
395,Andrey Cochran,24/07/2019,"['Innovative', 'Listening', 'Competitive']","['Perfectionist', 'Indecisive', 'Impatient']",Yes,Yes,Yes,Pass,Data,2.0,,,,,,3.0,,
396,Letizia Mckern,04/07/2019,"['Organisation', 'Charisma', 'Problem Solving']","['Distracted', 'Undisciplined']",Yes,Yes,Yes,Pass,Business,,,,4.0,2.0,5.0,,,
397,Fons Ghiotto,16/07/2019,"['Listening', 'Collaboration', 'Independent']","['Chaotic', 'Indecisive']",Yes,Yes,Yes,Pass,Engineering,,3.0,,,,,,,2.0
398,Sal Inglesent,04/07/2019,"['Perfectionism', 'Efficient', 'Passionate']",['Overbearing'],Yes,Yes,Yes,Pass,Data,3.0,,,1.0,,6.0,6.0,,
399,Sela Pavese,25/07/2019,"['Rational', 'Courteous']",['Passive'],Yes,Yes,Yes,Fail,Business,,,4.0,,,5.0,2.0,2.0,1.0
400,Alison Tett,10/07/2019,"['Versatile', 'Courteous']","['Overbearing', 'Impulsive']",Yes,Yes,Yes,Pass,Business,2.0,,,,1.0,,,3.0,
401,Gabi Ivins,04/07/2019,"['Creative', 'Charisma']","['Undisciplined', 'Indecisive', 'Critical']",Yes,Yes,Yes,Pass,Business,,,2.0,7.0,1.0,,,1.0,3.0
402,Noe Fortnam,09/07/2019,['Determined'],"['Competitive', 'Stubborn', 'Chatty']",Yes,Yes,Yes,Pass,Engineering,,,3.0,1.0,1.0,,,,
403,Ronny Vasilchenko,23/07/2019,"['Versatile', 'Curious', 'Determined']","['Indecisive', 'Impulsive']",Yes,Yes,Yes,Pass,Business,,,1.0,,,1.0,,,
404,Blair Woollhead,18/07/2019,['Organisation'],['Chatty'],Yes,Yes,No,Fail,Engineering,,,,,5.0,,1.0,2.0,
405,Henrieta Chatto,04/07/2019,"['Innovative', 'Versatile']","['Conventional', 'Undisciplined', 'Indifferent']",Yes,Yes,Yes,Pass,Business,,3.0,,,,,,,
406,Eba Gary,02/07/2019,"['Patient', 'Determined', 'Innovative']","['Indecisive', 'Controlling']",Yes,Yes,Yes,Pass,Engineering,,,,,,,5.0,2.0,
407,Marcela Riding,25/07/2019,"['Empathy', 'Competitive']","['Impulsive', 'Introverted']",Yes,Yes,Yes,Pass,Business,,,,4.0,4.0,,,2.0,
408,Hewet Derwin,11//07/2019,['Consistent'],"['Chaotic', 'Slow']",Yes,Yes,Yes,Pass,Engineering,,,1.0,,,,3.0,,2.0
409,Demetria O' Sullivan,18/07/2019,"['Perfectionism', 'Independent', 'Critical Thinking']",['Perfectionist'],Yes,No,Yes,Fail,Data,,5.0,4.0,2.0,,,,4.0,3.0
410,Steffen Marcombe,04/07/2019,"['Listening', 'Rational']","['Immature', 'Overbearing', 'Anxious']",Yes,Yes,Yes,Pass,Business,5.0,,,,,,1.0,,4.0
411,Aguste Tann,30/07/2019,"['Perfectionism', 'Charisma']","['Introverted', 'Controlling', 'Distracted']",Yes,Yes,Yes,Pass,Business,,,,1.0,,,,,
412,D'Arcy Bover,02/07/2019,['Creative'],"['Indifferent', 'Immature', 'Introverted']",Yes,Yes,Yes,Pass,Engineering,6.0,,,3.0,,,4.0,,
413,Chadd Klampt,03/07/2019,"['Patient', 'Perfectionism']",['Indecisive'],Yes,Yes,Yes,Pass,Engineering,1.0,3.0,,2.0,,,,,4.0
414,Pren Varcoe,30/07/2019,"['Determined', 'Listening']","['Critical', 'Impatient']",No,Yes,Yes,Fail,Engineering,,,6.0,3.0,,2.0,,2.0,
415,Abraham Rockell,02/07/2019,['Independent'],"['Overbearing', 'Critical', 'Controlling']",Yes,Yes,Yes,Pass,Engineering,,,2.0,,3.0,,,3.0,
416,Laurette Hembling,09/07/2019,"['Versatile', 'Determined', 'Problem Solving']","['Sensitive', 'Intolerant', 'Impulsive']",No,Yes,Yes,Fail,Data,1.0,,3.0,1.0,2.0,1.0,4.0,,
417,Karlis Bottle,18/07/2019,['Composure'],['Sensitive'],No,Yes,No,Fail,Business,,,,,,,,,1.0
418,Wilhelm Jouanet,11/07/2019,['Perfectionism'],['Immature'],Yes,Yes,Yes,Pass,Data,,1.0,,,5.0,,,,
419,Peterus Bartolomeazzi,25/07/2019,['Independent'],['Intolerant'],Yes,Yes,Yes,Fail,Business,3.0,2.0,,,2.0,,1.0,,
420,Bari Streatfield,11/07/2019,['Problem Solving'],"['Indifferent', 'Overbearing']",Yes,Yes,Yes,Pass,Business,,,2.0,,,4.0,,,3.0
421,Teriann Matyashev,04/07/2019,['Independent'],"['Undisciplined', 'Conventional']",Yes,Yes,Yes,Pass,Business,,,1.0,,1.0,,1.0,,
422,Uriel Eidelman,10/07/2019,"['Innovative', 'Patient']","['Competitive', 'Overbearing']",Yes,Yes,Yes,Pass,Business,,,2.0,4.0,5.0,4.0,,,
423,Toddie Rubanenko,03/07/2019,"['Collaboration', 'Organisation', 'Ambitious']",['Procrastination'],Yes,Yes,Yes,Pass,Data,6.0,,,,2.0,,,,
424,Drake Northcote,10/07/2019,"['Independent', 'Listening', 'Reliable']",['Indifferent'],Yes,Yes,No,Fail,Engineering,4.0,,,,5.0,1.0,,2.0,
425,Engracia Andriolli,30/07/2019,"['Rational', 'Organisation']","['Immature', 'Selfish', 'Impatient']",Yes,No,Yes,Fail,Engineering,5.0,,,,4.0,,,,
426,Cristina Finlan,31/07/2019,"['Creative', 'Consistent']","['Introverted', 'Indecisive', 'Procrastination']",Yes,Yes,Yes,Pass,Business,,,,3.0,2.0,,,,1.0
427,Markos Walter,16/07/2019,"['Versatile', 'Organisation', 'Critical Thinking']","['Selfish', 'Slow']",Yes,Yes,Yes,Pass,Data,,,,,,,,,
428,Ofilia Keizman,17/07/2019,['Courteous'],"['Anxious', 'Sensitive', 'Passive']",Yes,Yes,Yes,Pass,Business,,5.0,,1.0,2.0,,,,1.0
429,Chev Spillane,02/07/2019,"['Organisation', 'Creative', 'Consistent']",['Stubborn'],Yes,Yes,Yes,Pass,Engineering,,,,3.0,,7.0,,5.0,
430,Beauregard Cornehl,02/07/2019,"['Collaboration', 'Rational']","['Distracted', 'Immature', 'Stubborn']",Yes,Yes,Yes,Pass,Business,3.0,,,,,,,,1.0
431,Barclay Morter,30/07/2019,"['Collaboration', 'Competitive']",['Impulsive'],No,Yes,Yes,Fail,Business,3.0,5.0,,,4.0,2.0,,,1.0
432,Clary Hertwell,30/07/2019,"['Patient', 'Collaboration', 'Competitive']",['Indifferent'],No,Yes,Yes,Fail,Business,,,,,3.0,2.0,5.0,,
433,Jessy Dollman,09/07/2019,"['Versatile', 'Composure']",['Competitive'],Yes,Yes,Yes,Pass,Data,,9.0,,,3.0,,5.0,,
434,Sibyl Gilardi,03/07/2019,['Altruism'],['Overbearing'],Yes,Yes,Yes,Fail,Business,,4.0,,4.0,1.0,,,,
435,Haywood Teager,03/07/2019,"['Composure', 'Efficient']","['Conventional', 'Perfectionist']",Yes,Yes,Yes,Pass,Engineering,,3.0,,,3.0,2.0,1.0,4.0,3.0
436,Doretta Henner,18/07/2019,['Altruism'],['Overbearing'],Yes,Yes,Yes,Pass,Business,1.0,,,,,6.0,,,
437,Niall Graine,04/07/2019,"['Altruism', 'Perfectionism']","['Perfectionist', 'Controlling']",Yes,Yes,Yes,Pass,Business,,,,,,,,5.0,
438,Karel Toulamain,10/07/2019,"['Determined', 'Reliable', 'Creative']","['Anxious', 'Immature', 'Competitive']",No,Yes,Yes,Fail,Data,1.0,,,3.0,,,3.0,,
439,Iosep Idle,03/07/2019,"['Collaboration', 'Problem Solving', 'Organisation']","['Distracted', 'Stubborn']",Yes,Yes,Yes,Pass,Data,4.0,5.0,,4.0,4.0,,,2.0,
440,Duky Shailer,02/07/2019,"['Empathy', 'Efficient', 'Listening']",['Competitive'],No,Yes,No,Fail,Data,,,1.0,5.0,1.0,,,5.0,
441,Christie Blincoe,31/07/2019,"['Innovative', 'Charisma', 'Critical Thinking']","['Critical', 'Indecisive', 'Immature']",Yes,Yes,Yes,Pass,Business,,,,,4.0,,,,2.0
442,Rik Waren,11/07/2019,"['Charisma', 'Critical Thinking']","['Chaotic', 'Sensitive']",Yes,Yes,Yes,Pass,Data,1.0,,,,,,3.0,9.0,1.0
443,Zelda Prestage,10/07/2019,"['Courteous', 'Organisation', 'Listening']","['Perfectionist', 'Overbearing']",Yes,Yes,Yes,Fail,Business,1.0,,,,,,,,3.0
444,Dannel Longmaid,18/07/2019,"['Efficient', 'Consistent']","['Competitive', 'Impulsive']",Yes,Yes,Yes,Pass,Engineering,,,,3.0,,4.0,1.0,8.0,
445,Ira Grima,25/07/2019,"['Courteous', 'Passionate', 'Empathy']","['Immature', 'Chaotic']",No,Yes,Yes,Fail,Engineering,2.0,,5.0,2.0,2.0,,,,1.0
446,Vivyan Robuchon,11/07/2019,"['Composure', 'Listening']","['Selfish', 'Chaotic']",Yes,No,Yes,Fail,Engineering,,,,1.0,,,4.0,,
447,Gardner Estick,31/07/2019,"['Composure', 'Organisation', 'Consistent']",['Introverted'],Yes,Yes,Yes,Pass,Engineering,,,,,,,,3.0,1.0
448,Darin Healing,04/07/2019,['Composure'],['Chatty'],Yes,Yes,Yes,Pass,Engineering,3.0,,6.0,,2.0,,3.0,,2.0
449,Teena Priel,18/07/2019,"['Determined', 'Curious']","['Sensitive', 'Passive', 'Impulsive']",Yes,No,No,Fail,Business,2.0,4.0,,,,,2.0,,2.0
450,Katinka Tyt,18/07/2019,"['Innovative', 'Competitive']","['Slow', 'Chatty']",Yes,Yes,Yes,Pass,Data,,1.0,,,,,,,3.0
451,Maxy Bensen,18/07/2019,"['Reliable', 'Rational', 'Independent']",['Indifferent'],Yes,Yes,Yes,Pass,Engineering,3.0,1.0,5.0,,4.0,4.0,,,4.0
452,Donnie Sandwick,04/07/2019,['Determined'],['Sensitive'],Yes,Yes,No,Fail,Data,,,2.0,,,3.0,,3.0,
453,Natasha Christol,31/07/2019,"['Creative', 'Collaboration']","['Selfish', 'Impatient', 'Chatty']",No,Yes,Yes,Fail,Data,3.0,1.0,,2.0,,,,,2.0
454,Scarlett Roarty,23/07/2019,['Curious'],"['Indecisive', 'Anxious', 'Sensitive']",Yes,Yes,Yes,Pass,Data,,,2.0,,,,,,1.0
455,Hurlee Hesey,25/07/2019,"['Reliable', 'Versatile', 'Innovative']","['Passive', 'Conventional']",Yes,Yes,No,Fail,Engineering,,,2.0,,2.0,,,,
456,Yehudit Killingbeck,30/07/2019,"['Ambitious', 'Determined']",['Sensitive'],Yes,Yes,No,Fail,Engineering,,,1.0,,,5.0,,,2.0
457,Riannon Baraclough,31/07/2019,"['Reliable', 'Empathy', 'Curious']",['Controlling'],Yes,Yes,Yes,Pass,Business,,3.0,1.0,,3.0,,3.0,,
458,Shay Obee,11/07/2019,"['Determined', 'Empathy', 'Organisation']",['Procrastination'],Yes,Yes,Yes,Pass,Business,,1.0,,,,,,1.0,4.0
459,Collete Causbey,03/07/2019,"['Composure', 'Independent']","['Passive', 'Slow']",Yes,Yes,Yes,Pass,Business,1.0,2.0,,,4.0,4.0,,,1.0
460,Tallia Rushford,31/07/2019,['Versatile'],['Chaotic'],Yes,Yes,No,Fail,Data,2.0,,,6.0,,5.0,,,
461,Angelica Neissen,31/07/2019,"['Collaboration', 'Charisma']",['Distracted'],Yes,Yes,Yes,Fail,Business,1.0,5.0,,,8.0,,1.0,,
462,Merwyn Gossop,18/07/2019,"['Consistent', 'Competitive', 'Charisma']",['Competitive'],Yes,Yes,Yes,Pass,Business,,,,3.0,,,,,
463,Luca Gokes,09/07/2019,"['Passionate', 'Altruism']",['Procrastination'],No,Yes,Yes,Fail,Data,,5.0,,,2.0,,,,
464,Judon Henze,10/07/2019,"['Listening', 'Competitive', 'Charisma']",['Controlling'],Yes,Yes,Yes,Pass,Engineering,,,2.0,,6.0,,,3.0,3.0
465,Mirilla Bottinelli,16/07/2019,['Altruism'],['Chatty'],Yes,Yes,Yes,Pass,Data,1.0,,,,,2.0,4.0,3.0,
466,Mirilla Bottinelli,16/07/2019,['Altruism'],['Chatty'],Yes,Yes,Yes,Pass,Data,1.0,,,,,2.0,4.0,3.0,
467,Cordie Duckering,25/07/2019,"['Problem Solving', 'Reliable', 'Consistent']","['Passive', 'Introverted', 'Anxious']",Yes,Yes,Yes,Pass,Business,,,2.0,,2.0,,,1.0,6.0
468,Dorian Hamshar,09/07/2019,"['Curious', 'Organisation', 'Versatile']",['Undisciplined'],Yes,Yes,Yes,Pass,Business,,,,,2.0,4.0,,,
469,Anet Satterley,30/07/2019,"['Efficient', 'Charisma']","['Intolerant', 'Chatty', 'Chaotic']",Yes,Yes,Yes,Pass,Business,,,1.0,,,,,,
470,Stanislaus Sendley,30/07/2019,"['Innovative', 'Composure']","['Impatient', 'Impulsive']",Yes,Yes,Yes,Pass,Engineering,5.0,,,2.0,,,,,1.0
471,Patrizia Wyre,17/07/2019,['Reliable'],['Stubborn'],Yes,Yes,Yes,Pass,Business,,6.0,2.0,,,3.0,,,
472,Rodolfo Garret,16/07/2019,"['Curious', 'Passionate']","['Controlling', 'Impatient']",Yes,Yes,Yes,Pass,Data,,,4.0,,7.0,3.0,3.0,4.0,5.0
473,Waverley Deacock,02/07/2019,"['Empathy', 'Organisation']","['Impulsive', 'Stubborn', 'Distracted']",Yes,Yes,Yes,Pass,Engineering,1.0,,1.0,3.0,1.0,,,,2.0
474,Langston Adamski,31/07/2019,['Listening'],"['Intolerant', 'Overbearing']",Yes,Yes,Yes,Pass,Engineering,,,1.0,,6.0,,,5.0,3.0
475,Annabela Brackenridge,23/07/2019,"['Altruism', 'Passionate', 'Rational']","['Slow', 'Impatient']",Yes,Yes,Yes,Pass,Engineering,,4.0,,,,5.0,,,
476,Amerigo Heys,31/07/2019,"['Competitive', 'Collaboration']","['Distracted', 'Competitive']",Yes,Yes,Yes,Pass,Engineering,,,,3.0,2.0,,4.0,,1.0
477,Sorcha Argue,02/07/2019,"['Passionate', 'Empathy']","['Anxious', 'Indifferent']",Yes,Yes,Yes,Pass,Data,,3.0,,2.0,,,,,3.0
478,Miguelita Smedley,10/07/2019,"['Listening', 'Altruism', 'Problem Solving']","['Indifferent', 'Undisciplined']",Yes,Yes,Yes,Pass,Data,,3.0,,,,,3.0,,
479,Weylin Comolli,10/07/2019,"['Creative', 'Perfectionism', 'Passionate']",['Overbearing'],Yes,Yes,Yes,Pass,Business,,3.0,,,1.0,,,,
480,Raimondo Mellodey,24/07/2019,"['Organisation', 'Passionate', 'Consistent']",['Passive'],Yes,Yes,Yes,Pass,Business,,,3.0,,4.0,,,,1.0
481,Courtnay Duiged,17/07/2019,"['Competitive', 'Collaboration', 'Courteous']",['Immature'],Yes,Yes,No,Fail,Business,,,,,,1.0,4.0,5.0,
482,Sarena Weatherill,17/07/2019,"['Altruism', 'Efficient', 'Rational']","['Competitive', 'Distracted', 'Impatient']",Yes,Yes,No,Fail,Business,,,4.0,,,3.0,,,1.0
